                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    136,                 2.4251,                 1.9044,                 2.1504,                0.68555,                0.50643,                0.48941,                0.29459,                 3.2797,                 2.5585,                 2.4266,              0.0001211,              0.0001211,              0.0001211
                    137,                 2.4193,                 1.8718,                 2.1372,                0.68521,                0.50906,                0.48406,                0.29833,                  3.283,                 2.5361,                 2.4265,             0.00011377,             0.00011377,             0.00011377
                    138,                 2.3864,                 1.8581,                 2.1195,                0.66962,                0.50915,                0.47959,                0.29632,                 3.2749,                 2.5626,                 2.4212,             0.00010643,             0.00010643,             0.00010643
                    139,                 2.5059,                 1.9199,                 2.1332,                0.67706,                0.50122,                0.47686,                0.30049,                 3.2687,                 2.5358,                  2.425,             9.9101e-05,             9.9101e-05,             9.9101e-05
                    140,                 2.4028,                 1.8384,                 2.1164,                0.68073,                0.49943,                 0.4762,                0.30031,                 3.2688,                 2.4729,                 2.4174,             9.1769e-05,             9.1769e-05,             9.1769e-05
                    141,                 2.9248,                 2.3946,                 2.1745,                0.55361,                0.50056,                0.49264,                0.30007,                 3.2959,                 2.6332,                 2.4434,             8.4436e-05,             8.4436e-05,             8.4436e-05
                    142,                 2.8806,                 2.2275,                 2.1604,                0.71568,                0.49054,                0.48897,                0.30031,                 3.2994,                 2.5783,                 2.4364,             7.7103e-05,             7.7103e-05,             7.7103e-05
                    143,                 2.8304,                 2.1781,                 2.1556,                0.65804,                0.48846,                0.45842,                0.28665,                 3.2861,                 2.5437,                  2.446,             6.9771e-05,             6.9771e-05,             6.9771e-05
                    144,                  2.851,                 2.1861,                 2.1529,                 0.6564,                0.51376,                0.47954,                0.29061,                 3.2796,                  2.556,                 2.4411,             6.2438e-05,             6.2438e-05,             6.2438e-05
                    145,                 2.8395,                  2.148,                  2.139,                0.70311,                0.47328,                0.47618,                0.29839,                 3.2744,                 2.5126,                 2.4284,             5.5106e-05,             5.5106e-05,             5.5106e-05
                    146,                 2.8826,                 2.1736,                 2.1654,                0.68907,                0.47582,                0.46566,                0.29499,                 3.2767,                 2.5428,                 2.4223,             4.7773e-05,             4.7773e-05,             4.7773e-05
