                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    140,                0.84793,                0.61051,                  1.067,                0.72377,                0.49052,                0.50022,                0.30192,                 1.3146,                0.88874,                 1.2569,             9.1769e-05,             9.1769e-05,             9.1769e-05
                    141,                 1.1273,                0.87165,                 1.1065,                0.74175,                0.48624,                0.50793,                0.29721,                 1.3349,                0.91338,                 1.2677,             8.4436e-05,             8.4436e-05,             8.4436e-05
                    142,                 1.1137,                0.77623,                  1.101,                0.69179,                0.51312,                0.49488,                0.29796,                 1.3311,                0.90859,                 1.2717,             7.7103e-05,             7.7103e-05,             7.7103e-05
                    143,                 1.0727,                0.74482,                  1.083,                0.69574,                 0.5021,                0.49265,                0.30148,                 1.3332,                0.93051,                  1.276,             6.9771e-05,             6.9771e-05,             6.9771e-05
                    144,                 1.0615,                0.74167,                 1.0734,                 0.6719,                 0.4906,                0.47276,                0.29492,                 1.3278,                0.92237,                 1.2812,             6.2438e-05,             6.2438e-05,             6.2438e-05
                    145,                 1.0777,                0.75205,                 1.0895,                0.46618,                0.54262,                0.49983,                 0.2993,                  1.335,                0.92128,                 1.2786,             5.5106e-05,             5.5106e-05,             5.5106e-05
                    146,                 1.0539,                0.74221,                 1.0757,                0.67301,                0.52146,                0.48509,                0.30025,                 1.3296,                0.90948,                 1.2787,             4.7773e-05,             4.7773e-05,             4.7773e-05
                    147,                 1.0582,                0.72699,                 1.0612,                0.64064,                0.52937,                0.48666,                0.29587,                 1.3257,                0.91982,                 1.2773,              4.044e-05,              4.044e-05,              4.044e-05
                    148,                 1.0548,                0.72635,                 1.0668,                0.67387,                0.52106,                0.48386,                0.29774,                 1.3302,                0.91903,                 1.2777,             3.3108e-05,             3.3108e-05,             3.3108e-05
                    149,                 1.0564,                0.72731,                 1.0677,                0.69239,                0.51392,                0.49509,                0.29802,                 1.3279,                0.90703,                 1.2812,             2.5775e-05,             2.5775e-05,             2.5775e-05
