                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.85259,                0.67617,                 1.1394,                0.67792,                 0.4135,                0.39146,                0.25692,                 1.2338,                0.81383,                 1.2191,             0.00059772,             0.00059772,             0.00059772
                     72,                0.85084,                0.67385,                 1.1443,                0.64776,                 0.3698,                0.38094,                0.25028,                 1.1887,                0.83389,                 1.1935,             0.00059039,             0.00059039,             0.00059039
                     73,                0.84768,                0.66084,                 1.1337,                0.66229,                0.39016,                0.39439,                 0.2652,                 1.1862,                 0.8142,                 1.1885,             0.00058305,             0.00058305,             0.00058305
                     74,                0.85632,                0.67232,                 1.1308,                0.67032,                0.40926,                0.36701,                0.25058,                 1.2208,                0.81229,                 1.2102,             0.00057572,             0.00057572,             0.00057572
                     75,                0.84596,                0.65936,                 1.1277,                0.74881,                0.36566,                0.40009,                0.25681,                 1.2193,                0.83316,                 1.2097,             0.00056839,             0.00056839,             0.00056839
                     76,                0.83351,                0.66192,                 1.1245,                0.62957,                0.42495,                0.39823,                0.25346,                 1.1933,                0.80715,                 1.1989,             0.00056105,             0.00056105,             0.00056105
                     77,                 0.8545,                0.66547,                 1.1289,                0.64214,                0.37452,                0.38751,                0.24108,                 1.2113,                0.83285,                 1.2145,             0.00055372,             0.00055372,             0.00055372
                     78,                0.82146,                0.65645,                 1.1178,                0.64594,                0.45016,                0.42002,                0.25678,                 1.1914,                 0.8077,                 1.2039,             0.00054639,             0.00054639,             0.00054639
                     79,                0.81537,                0.64742,                 1.1093,                0.61195,                0.40238,                0.37195,                0.25017,                 1.1841,                0.80048,                 1.2009,             0.00053906,             0.00053906,             0.00053906
                     80,                0.82296,                 0.6481,                 1.1155,                0.70213,                0.42767,                0.41635,                0.25403,                 1.2146,                0.82555,                 1.2076,             0.00053172,             0.00053172,             0.00053172
                     81,                0.81844,                0.65114,                 1.1099,                 0.6655,                0.41236,                0.38958,                0.25249,                 1.2006,                0.81222,                  1.191,             0.00052439,             0.00052439,             0.00052439
                     82,                0.83044,                0.66104,                 1.1125,                0.67141,                0.39955,                0.41566,                 0.2585,                 1.2315,                0.80989,                  1.202,             0.00051706,             0.00051706,             0.00051706
                     83,                0.80137,                0.63508,                 1.1041,                0.70172,                0.41161,                0.40754,                0.26237,                 1.2089,                0.81264,                 1.1932,             0.00050973,             0.00050973,             0.00050973
                     84,                0.80374,                0.64029,                 1.1012,                 0.6721,                0.41958,                0.40195,                0.25483,                 1.1996,                0.80205,                 1.1937,             0.00050239,             0.00050239,             0.00050239
                     85,                0.83578,                0.66544,                 1.1096,                0.72954,                0.40517,                0.40245,                0.25842,                  1.191,                0.78826,                 1.1935,             0.00049506,             0.00049506,             0.00049506
                     86,                0.84182,                0.65043,                 1.1189,                0.64298,                0.42711,                0.40044,                0.25656,                 1.2273,                0.82221,                 1.2069,             0.00048773,             0.00048773,             0.00048773
                     87,                0.81855,                0.63082,                 1.1067,                0.70539,                0.41424,                0.43001,                0.27255,                 1.2322,                0.80827,                 1.2002,              0.0004804,              0.0004804,              0.0004804
                     88,                0.83711,                0.65879,                 1.1172,                0.71255,                0.39901,                0.41959,                0.26017,                 1.2123,                0.81375,                 1.1913,             0.00047306,             0.00047306,             0.00047306
                     89,                0.82387,                0.64889,                 1.1077,                0.69228,                0.45042,                0.42753,                0.25968,                 1.2173,                0.78878,                 1.1919,             0.00046573,             0.00046573,             0.00046573
                     90,                0.81896,                0.64739,                 1.1028,                 0.7068,                0.39297,                 0.4147,                0.25496,                 1.2084,                0.82835,                 1.1979,              0.0004584,              0.0004584,              0.0004584
                     91,                0.81506,                0.63642,                 1.1022,                0.64885,                0.41621,                0.40324,                0.25807,                 1.1967,                0.80447,                 1.2029,             0.00045107,             0.00045107,             0.00045107
                     92,                0.82619,                0.63623,                 1.1102,                0.67312,                0.40334,                0.41438,                0.26402,                  1.191,                0.78735,                 1.1858,             0.00044373,             0.00044373,             0.00044373
